Generated by http://statistics.gov.scot,2024-03-03T15:29:57+00:00
http://statistics.gov.scot/data/residential-properties-sales-and-price,House Prices - Residential Properties Sales and Price
measure type,Median
Sales,Price - Median
Measure (cell values): ,Median(Pounds (GBP))

,,http://reference.data.gov.uk/id/year/2004,http://reference.data.gov.uk/id/year/2005,http://reference.data.gov.uk/id/year/2006,http://reference.data.gov.uk/id/year/2007,http://reference.data.gov.uk/id/year/2008,http://reference.data.gov.uk/id/year/2009,http://reference.data.gov.uk/id/year/2010,http://reference.data.gov.uk/id/year/2011,http://reference.data.gov.uk/id/year/2012,http://reference.data.gov.uk/id/year/2013,http://reference.data.gov.uk/id/year/2014,http://reference.data.gov.uk/id/year/2015,http://reference.data.gov.uk/id/year/2016,http://reference.data.gov.uk/id/year/2017,http://reference.data.gov.uk/id/year/2018,http://reference.data.gov.uk/id/year/2019,http://reference.data.gov.uk/id/year/2020,http://reference.data.gov.uk/id/year/2021,http://reference.data.gov.uk/id/year/2022
http://statistics.gov.scot/id/statistical-geography/S16000139,Renfrewshire North and West,86000,95000,110000,125000,131000,130000,123000,119000,110070.8,115000,135500,132000,139561.5,155000,149995,150997.5,160000,165116.5,180000
http://statistics.gov.scot/id/statistical-geography/S16000140,Renfrewshire South,71150,78133,90500,105000,105000,91997.5,97000,92500,92500,90500,93000,102000,100000,105000,125328,130000,140000,145592.5,172500
http://statistics.gov.scot/id/statistical-geography/S16000141,Rutherglen,83000,90000,108000,112500,113000,104550,115000,110000,99997.5,105000,105000,121242,121028,125500,140000,150000,150000,154500,165165
http://statistics.gov.scot/id/statistical-geography/S16000142,Shetland Islands,60000,70000,77075.5,96000,100111,95000,107000,115150,116250,121000,125000,135000,150000,150333,155000,153500,150000,162997.5,178000
http://statistics.gov.scot/id/statistical-geography/S16000143,"Skye, Lochaber and Badenoch",95000,112500,140000,155000,155000,154999,149000,155000,145000,150000,155000,160000,166000,170000,190000,177500,190388.5,208000,230000
http://statistics.gov.scot/id/statistical-geography/S16000144,Stirling,100000,109995,119000,132066,145875,139250,135000,140000,145000,130000,138500,140000,138000,147000,155000,158000,175000,175000,185995
http://statistics.gov.scot/id/statistical-geography/S16000148,Strathkelvin and Bearsden,113376,132575,140000,150000,154497.5,151975,148750,157500,155750,160000,175000,170000,172336,182000,190000,191234,195138,220000,230000
http://statistics.gov.scot/id/statistical-geography/S16000146,Uddingston and Bellshill,72272,83500,88500,95000,99000,91875,91800,93500,91473.5,97750,107000,111250,115412.5,115000,120000,127000,132050,125000,130000
http://statistics.gov.scot/id/statistical-geography/S08000015,Ayrshire and Arran,68000,80000,95000,110000,109250,104250,106000,106000,96997.5,100000,101000,110000,105000,110000,114000,110000,121000,125000,133000
http://statistics.gov.scot/id/statistical-geography/S08000016,Borders,88120,98000,123750,140000,137500,139000,145000,147000,137950,136000,144500,145000,148000,147000,153000,143950,160000,165000,172500
